FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1068259;FWD;140;WA;-16681.9207477936;0.981554771118686;-16680.9391930225;01
20260514;1068262;FWD;140;WA;-19457.7508315373;3.22159108672367;-19454.5292404506;01
20260514;1068266;FWD;140;WA;-9294.50492865358;1.60098853431136;-9292.90394011927;01
20260514;1068269;FWD;140;WA;-1255490.40012164;216.259580360877;-1255274.14054128;01
20260514;1078633;FWD;140;WA;-158.044224846857;0;-158.044224846857;01
20260514;1078635;FWD;140;WA;-5270.99108246416;0;-5270.99108246416;01
20260514;1078637;FWD;140;WA;-8482.18164490265;0;-8482.18164490265;01
20260514;1078639;FWD;140;WA;-12300.9669156312;0.217019317891407;-12300.7498963133;01
20260514;1078641;FWD;140;WA;-14959.7714230745;1.02298106668552;-14958.7484420078;01
20260514;1078643;FWD;140;WA;-16921.7646597749;3.39767780311543;-16918.3669819718;01
20260514;1078645;FWD;140;WA;-19593.8312886632;11.1781962205578;-19582.6530924426;01
20260514;1078647;FWD;140;WA;-1261656.18257063;746.855783956479;-1260909.32678667;01
20260514;1091222;FWD;140;WA;-220.583641217256;0;-220.583641217256;01
20260514;1091224;FWD;140;WA;-7379.88578802978;0;-7379.88578802978;01
20260514;1091226;FWD;140;WA;-11917.694370068;0;-11917.694370068;01
20260514;1091228;FWD;140;WA;-17352.5077175175;0.334757912108944;-17352.1729596054;01
20260514;1091230;FWD;140;WA;-21279.7112088802;1.56089239790313;-21278.1503164823;01
20260514;1091232;FWD;140;WA;-24225.419330369;5.00090074753889;-24220.4184296215;01
20260514;1091234;FWD;140;WA;-28705.1727645356;15.5981003936832;-28689.5746641419;01
20260514;1091236;FWD;140;WA;-1864545.4884852;1024.080254853;-1863521.40823035;01
20260514;1091264;FWD;140;WA;-7881.96151624145;0;-7881.96151624145;01
20260514;1091266;FWD;140;WA;-268435.542934049;0;-268435.542934049;01
20260514;1091268;FWD;140;WA;-439896.733861285;0;-439896.733861285;01
20260514;1091270;FWD;140;WA;-660656.785002577;0;-660656.785002577;01
20260514;1091272;FWD;140;WA;-831143.142051127;0;-831143.142051127;01
20260514;1091274;FWD;140;WA;-963528.193669075;0;-963528.193669075;01
