Mid;USD;COP;ARS;AUD;BRL;CAD;CHF;CLP;CNH;CNY;EUR;GBP;JPY;KRW;MXN;MYR;NOK;NZD;PEN;RUB;SEK;ZAR;DKK;CZK;CRC;HNL;GTQ;CLF;UVR;SGD;HKD;DOP;VEF;PLN;TRY;HUF;KWD;TTD;IDR;ILS;INR;PHP;PYG;THB;TWD;UYU;UDI;NIO;ANG;XCD;GYD;ETB;JMD;AED;QAR;BGN;MAD
SEK;0.107215;405.777263;149.24099;0.148078;0.535755;0.147144;0.083833;95.528719;0.727487;0.727473;0.091621;0.07936;16.934353;159.935865;1.843923;0.421513;0.989326;0.180805;0.366129;7.871963;1;1.759073;0.684676;2.226579;48.71911;2.852728;0.817542;0.002369;0.988606;0.136525;0.839819;6.381661;54.65481;0.388272;4.87129;32.748179;0.032845;0.724056;1872.512712;0.311494;10.267763;6.596546;653.669464;3.464657;3.380173;4.296541;0.208544;3.926681;0.191915;0.289481;22.429414;16.863006;16.90928;0.393748;0.390853;0.179193;0.986294
ZAR;0.06095;230.676789;84.840713;0.08418;0.304567;0.083648;0.047658;54.306291;0.413563;0.413555;0.052085;0.045115;9.626863;90.92055;1.048236;0.239622;0.562413;0.102784;0.208138;4.475064;0.568481;1;0.389226;1.265769;27.695904;1.621722;0.464758;0.001347;0.562004;0.077612;0.477421;3.627855;31.070238;0.220726;2.769238;18.616728;0.018672;0.411612;1064.488474;0.177078;5.837031;3.750013;371.598871;1.969593;1.921565;2.442503;0.118554;2.232245;0.1091;0.164565;12.750703;9.586304;9.61261;0.223838;0.222193;0.101868;0.56069
DKK;0.156592;592.655588;217.973047;0.216275;0.782494;0.21491;0.122442;139.523906;1.062527;1.062506;0.133817;0.115909;24.73337;233.593384;2.693131;0.615638;1.444954;0.264074;0.534748;11.497349;1.460544;2.569203;1;3.252017;71.156409;4.166535;1.194057;0.00346;1.443902;0.199401;1.226592;9.320698;79.825761;0.567089;7.114735;47.83016;0.047972;1.057516;2734.887393;0.454951;14.996521;9.634546;954.713078;5.060284;4.936891;6.275287;0.304588;5.73509;0.280301;0.4228;32.759148;24.629164;24.696749;0.575086;0.570858;0.261719;1.440526
CZK;0.048152;182.242447;67.027026;0.066505;0.240618;0.066085;0.037651;42.903802;0.326729;0.326722;0.041149;0.035642;7.605547;71.830302;0.828142;0.18931;0.444326;0.081203;0.164436;3.535451;0.449119;0.790034;0.307501;1;21.880698;1.281215;0.367174;0.001064;0.444002;0.061316;0.377179;2.866128;24.546536;0.174381;2.187791;14.707843;0.014751;0.325188;840.981812;0.139898;4.611452;2.962637;293.575646;1.556045;1.518101;1.92966;0.093661;1.763549;0.086193;0.130012;10.073485;7.573503;7.594286;0.17684;0.17554;0.080479;0.442964
CRC;0.002201;8.328914;3.063295;0.003039;0.010997;0.00302;0.001721;1.960806;0.014932;0.014932;0.001881;0.001629;0.347592;3.282816;0.037848;0.008652;0.020307;0.003711;0.007515;0.161579;0.020526;0.036106;0.014054;0.045702;1;0.058555;0.016781;0.000049;0.020292;0.002802;0.017238;0.130989;1.121835;0.00797;0.099987;0.672183;0.000674;0.014862;38.434871;0.006394;0.210754;0.1354;13.417106;0.071115;0.069381;0.08819;0.004281;0.080598;0.003939;0.005942;0.460382;0.346127;0.347077;0.008082;0.008023;0.003678;0.020244
HNL;0.037583;142.241849;52.315189;0.051908;0.187805;0.05158;0.029387;33.486799;0.255015;0.255009;0.032117;0.027819;5.936197;56.064189;0.646372;0.147758;0.3468;0.06338;0.128344;2.759451;0.350542;0.616628;0.240008;0.780509;17.078079;1;0.286583;0.00083;0.346548;0.047858;0.294391;2.237038;19.15879;0.136106;1.70759;11.479602;0.011514;0.253812;656.393778;0.109192;3.599279;2.312364;229.138401;1.214507;1.184891;1.506117;0.073103;1.376465;0.067274;0.101475;7.862445;5.911187;5.927408;0.138025;0.13701;0.062815;0.345737
GTQ;0.131143;496.337825;182.548297;0.181126;0.655324;0.179983;0.102543;116.848628;0.889846;0.889829;0.112069;0.097072;20.713729;195.630033;2.255446;0.515585;1.210122;0.221157;0.447841;9.628812;1.223178;2.151659;0.837481;2.723503;59.592145;3.489394;1;0.002898;1.209241;0.166994;1.027248;7.805908;66.852562;0.474926;5.958455;40.056852;0.040176;0.88565;2290.416371;0.381012;12.559302;8.06875;799.554113;4.237892;4.134553;5.255434;0.255087;4.803029;0.234746;0.354087;27.435166;20.626458;20.68306;0.481624;0.478083;0.219185;1.206413
CLF;45.257082;171284.477982;62996.78998;62.505978;226.150048;62.111497;35.38731;40324.06;307.082878;307.076765;38.674656;33.499213;7148.236586;67511.25223;778.34678;177.92662;417.608931;76.320565;154.548409;3322.869995;422.114528;742.530182;289.011833;939.871479;20565.044315;1204.177807;345.096564;1;417.304829;57.629104;354.499628;2693.792031;23070.589513;163.895455;2056.242484;13823.482135;13.864507;305.634651;790414.819891;131.486094;4334.171961;2784.497851;275923.377113;1462.4821;1426.820022;1813.632301;88.029557;1657.508946;81.010177;122.194121;9467.78154;7118.119834;7137.652791;166.206633;164.984692;75.639891;416.328948
UVR;0.108451;410.4541;150.961086;0.149785;0.54193;0.14884;0.0848;96.629747;0.735872;0.735857;0.092677;0.080275;17.129532;161.779226;1.865176;0.426371;1.000729;0.182889;0.370349;7.962692;1.011526;1.779347;0.692568;2.252242;49.280629;2.885607;0.826965;0.002396;1;0.138098;0.849498;6.455214;55.284741;0.392748;4.927435;33.125622;0.033224;0.732401;1894.094592;0.315084;10.386105;6.672575;661.203413;3.504589;3.419131;4.346061;0.210948;3.971938;0.194127;0.292817;22.687927;17.057363;17.10417;0.398286;0.395358;0.181258;0.997661
SGD;0.785316;2972.187061;1093.141926;1.084625;3.924233;1.07778;0.614053;699.716932;5.328608;5.328501;0.671096;0.58129;124.038655;1171.478424;13.506141;3.087444;7.246494;1.324341;2.681777;57.659581;7.324676;12.884639;5.015033;16.308973;356.851709;20.895307;5.988234;0.017352;7.241217;1;6.151399;46.743604;400.328789;2.84397;35.680625;239.869807;0.240582;5.303477;13715.549292;2.281592;75.20804;48.317563;4787.91716;25.377491;24.758671;31.47077;1.527519;28.761664;1.405716;2.120354;164.288195;123.516059;123.855001;2.884075;2.862871;1.312529;7.224283
